Episode: 117, Reward: 850.0, avg loss: 0.04395, eps: 0.811
Episode: 118, Reward: 200.0, avg loss: 0.04794, eps: 0.810
Episode: 119, Reward: 480.0, avg loss: 0.03448, eps: 0.808
Episode: 120, Reward: 360.0, avg loss: 0.04542, eps: 0.804
Episode: 121, Reward: 400.0, avg loss: 0.03218, eps: 0.802
Episode: 122, Reward: 980.0, avg loss: 0.03451, eps: 0.795
Episode: 123, Reward: 120.0, avg loss: 0.05152, eps: 0.794
Episode: 124, Reward: 840.0, avg loss: 0.03847, eps: 0.788
Episode: 125, Reward: 440.0, avg loss: 0.03438, eps: 0.786
Episode: 126, Reward: 340.0, avg loss: 0.03877, eps: 0.780
Episode: 127, Reward: 440.0, avg loss: 0.02590, eps: 0.778
Episode: 128, Reward: 2680.0, avg loss: 0.03328, eps: 0.774
Episode: 129, Reward: 360.0, avg loss: 0.03852, eps: 0.773
Episode: 130, Reward: 140.0, avg loss: 0.04906, eps: 0.770
Episode: 131, Reward: 850.0, avg loss: 0.04181, eps: 0.768
Episode: 132, Reward: 400.0, avg loss: 0.05313, eps: 0.767
Episode: 133, Reward: 420.0, avg loss: 0.04580, eps: 0.763
Episode: 134, Reward: 2840.0, avg loss: 0.04614, eps: 0.759
Episode: 135, Reward: 360.0, avg loss: 0.03914, eps: 0.758
Episode: 136, Reward: 580.0, avg loss: 0.04586, eps: 0.754
Episode: 137, Reward: 260.0, avg loss: 0.05071, eps: 0.753
Episode: 138, Reward: 660.0, avg loss: 0.04730, eps: 0.748
Episode: 139, Reward: 600.0, avg loss: 0.04872, eps: 0.746
Episode: 140, Reward: 440.0, avg loss: 0.04636, eps: 0.745
Episode: 141, Reward: 1330.0, avg loss: 0.04291, eps: 0.741
Episode: 142, Reward: 1900.0, avg loss: 0.04860, eps: 0.737
Episode: 143, Reward: 380.0, avg loss: 0.04990, eps: 0.734
Episode: 144, Reward: 600.0, avg loss: 0.03941, eps: 0.731
Episode: 145, Reward: 620.0, avg loss: 0.03152, eps: 0.729
Episode: 146, Reward: 580.0, avg loss: 0.03737, eps: 0.727
